ARQUIVO;STATUS;OBSERVACAO
IMG_7104.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7105.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7106.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7108.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7109.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7110.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7111.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7112.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7113.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7114.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7115.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7116.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7117.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7118.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7119.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7120.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7121.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7123.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7125.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7127.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7128.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7129.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7130.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7131.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7132.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7133.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7134.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7135.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7137.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7139.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7140.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7141.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7142.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7143.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7144.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7145.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7146.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7147.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7148.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7149.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7150.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7151.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7152.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7153.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7154.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7155.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7156.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7157.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7158.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7159.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7160.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7161.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7162.JPG;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7164.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7165.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7166.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7167.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7168.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7169.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7170.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7171.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7172.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7173.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7174.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7175.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7176.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7177.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7178.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7179.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7180.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7181.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7182.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7183.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7184.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7185.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7186.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7187.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7188.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7189.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
20.jpg;MULTIPAGINA_CONFIRMADA;Bombom Happy End - página 1 de 2
18.jpg;MULTIPAGINA_CONFIRMADA;Bombom Happy End - página 2 de 2
IMG_7124.jpeg;MULTIPAGINA_CONFIRMADA;Sonho - página 1 de 2
IMG_7122.jpeg;MULTIPAGINA_CONFIRMADA;Sonho - página 2 de 2
IMG_7138.jpeg;MULTIPAGINA_CONFIRMADA;Bolo de Mel e Chocolate - página 1 de 2
IMG_7136.jpeg;MULTIPAGINA_CONFIRMADA;Bolo de Mel e Chocolate - página 2 de 2
IMG_7083.jpeg;DUPLICATA_RETIRADA;"Mesma receita/foto; mantido: 30.jpeg"
IMG_7084.jpeg;DUPLICATA_RETIRADA;"Mesma receita/foto; mantido: 31.jpeg"
IMG_7107.jpeg;DUPLICATA_RETIRADA;"Mesma receita/foto; mantido: IMG_7106.jpeg"
2.jpg;DUPLICATA_RETIRADA;"Mesma receita/foto; mantido: IMG_7091.jpeg"
IMG_7092.jpeg;DUPLICATA_RETIRADA;"Mesma receita/foto; mantido: 1.jpg"
IMG_7126.jpeg;DUPLICATA_RETIRADA;"Mesma receita/foto; mantido: IMG_7127.jpeg"
