ID V6;ID V7;Situação;Título V6;Título V7
REC-0078;REC-0064;MANTIDA;Leite Condensado Caseiro;Leite Condensado Caseiro
REC-0079;REC-0065;MANTIDA;Pudim de Pão (Pão Velho);Pudim de Pão (Pão Velho)
REC-0080;REC-0066;MANTIDA;Bolinhos de Chuva;Bolinhos de Chuva
REC-0081;REC-0067;MANTIDA;Brigadeiro;Brigadeiro
REC-0082;REC-0068;MANTIDA;Feijoada Carioca;Feijoada Carioca
REC-0083;REC-0069;MANTIDA;Pavê de Pêssego;Pavê de Pêssego
REC-0084;REC-0070;MANTIDA;Coxinha;Coxinha
REC-0085;REC-0071;MANTIDA;Pão de Banana;Pão de Banana
REC-0086;REC-0072;MANTIDA;Bolo de Laranja;Bolo de Laranja
REC-0087;REC-0073;MANTIDA;Bolo de Fubá;Bolo de Fubá
REC-0088;REC-0074;MANTIDA;Rocambole Formiguinha;Rocambole Formiguinha
REC-0089;REC-0075;MANTIDA;Esfirra Habib's;Esfirra Habib's
REC-0090;REC-0076;MANTIDA;Pão de Ló — Variante 2;Pão de Ló — Variante 2
REC-0091;REC-0077;MANTIDA;Bolo de Milho;Bolo de Milho
REC-0092;REC-0078;MANTIDA;Bolo Nega Maluca;Bolo Nega Maluca
REC-0093;REC-0079;MANTIDA;Pé de Moleque;Pé de Moleque
REC-0094;REC-0080;MANTIDA;Bolo de Cenoura — Variante 3;Bolo de Cenoura — Variante 3
REC-0095;REC-0081;MANTIDA;Risoles — Variante 1;Risoles — Variante 1
REC-0096;REC-0082;MANTIDA;Doce de Mamão (Márcia);Doce de Mamão (Márcia)
REC-0097;REC-0083;MANTIDA;Pizza de Liquidificador;Pizza de Liquidificador
REC-0098;REC-0084;MANTIDA;Recheio de Leite em Pó;Recheio de Leite em Pó
REC-0099;REC-0085;MANTIDA;Risoles — Variante 2;Risoles — Variante 2
REC-0100;REC-0086;MANTIDA;Bolo de Chocolate — Variante 4;Bolo de Chocolate — Variante 4
REC-0101;REC-0087;MANTIDA;Torta de Liquidificador;Torta de Liquidificador
REC-0102;REC-0088;MANTIDA;Esfirra — Variante 1;Esfirra — Variante 1
REC-0103;REC-0089;MANTIDA;Pão de Queijo;Pão de Queijo
REC-0104;REC-0090;MANTIDA;Creme de Queijo;Creme de Queijo
REC-0105;REC-0091;MANTIDA;Pão;Pão
REC-0106;REC-0092;MANTIDA;Massa Doce;Massa Doce
REC-0107;REC-0093;MANTIDA;Bolo Toalha Felpudo;Bolo Toalha Felpudo
REC-0108;REC-0094;MANTIDA;Bacalhau com Broa de Milho;Bacalhau com Broa de Milho
REC-0109;REC-0095;MANTIDA;Pudim de Bar da Lourdes;Pudim de Bar da Lourdes
REC-0110;REC-0096;MANTIDA;Pão de Forma (Doce/Salgado);Pão de Forma (Doce/Salgado)
REC-0111;REC-0097;MANTIDA;Quindim;Quindim
REC-0112;REC-0098;MANTIDA;Bolo de Iogurte Natural;Bolo de Iogurte Natural
REC-0113;REC-0099;MANTIDA;Fatias Húngaras / Rosca Estrela — Variante 2;Fatias Húngaras / Rosca Estrela — Variante 2
REC-0114;REC-0100;MANTIDA;Pão Caseiro Baguete;Pão Caseiro Baguete
REC-0115;REC-0101;MANTIDA;Torta Salgada;Torta Salgada
REC-0116;REC-0102;MANTIDA;Sonho Assado;Sonho Assado
REC-0117;REC-0103;MANTIDA;Esfiha — Variante 2;Esfiha — Variante 2
REC-0118;REC-0104;MANTIDA;Pão de Mel;Pão de Mel
REC-0119;REC-0105;MANTIDA;Pasta de Alho;Pasta de Alho
REC-0120;REC-0106;MANTIDA;Bombom Happy End;Bombom Happy End
REC-0121;REC-0107;MANTIDA;Sonho;Sonho
REC-0122;REC-0108;MANTIDA;Bolo de Mel e Chocolate;Bolo de Mel e Chocolate
REC-0123;REC-0109;MANTIDA;Recheio Creme Branco com Bombom;Recheio Creme Branco com Bombom
REC-0124;REC-0110;MANTIDA;Recheio de Chocolate Branco com Bombom;Recheio de Chocolate Branco com Bombom
REC-0125;REC-0111;MANTIDA;Recheio de Coco;Recheio de Coco
REC-0126;REC-0112;MANTIDA;Cobertura com Emulsificante — Variante 2;Cobertura com Emulsificante — Variante 2
REC-0127;REC-0113;MANTIDA;Recheio de Doce de Leite — Anotação Incompleta;Recheio de Doce de Leite — Anotação Incompleta
