ID V5;ID V6;Situação;Título V5;Título V6
REC-0075;REC-0068;MANTIDA;Bolacha de Nata com Sal Amoníaco;Bolacha de Nata com Sal Amoníaco
REC-0076;REC-0069;MANTIDA;Bolo de Coco Baiano;Bolo de Coco Baiano
REC-0077;REC-0070;MANTIDA;Bolo Cortado pela Samantha (Receita Márcia);Bolo Cortado pela Samantha (Receita Márcia)
REC-0078;REC-0071;MANTIDA;Ganache de Chocolate;Ganache de Chocolate
REC-0079;REC-0072;MANTIDA;Creme de Limão;Creme de Limão
REC-0080;REC-0073;MANTIDA;Glacê de Emulsificante;Glacê de Emulsificante
REC-0081;;EXCLUÍDA;Pé de Moleque — Variante 1;
REC-0082;REC-0074;MANTIDA;Rosca Doce;Rosca Doce
REC-0083;REC-0075;MANTIDA;Bananinha (Receita da Graça);Bananinha (Receita da Graça)
REC-0084;REC-0076;ALTERADA;Rosca Espiral (Fatias Húngaras) — Variante 1;Rosca Espiral (Fatias Húngaras)
REC-0085;REC-0077;ALTERADA;Bolo de Chocolate — Variante 3;Bolo de Chocolate — Variante 3
REC-0086;REC-0078;MANTIDA;Leite Condensado Caseiro;Leite Condensado Caseiro
REC-0087;;EXCLUÍDA;Pudim de Leite em Pó — Variante 2;
REC-0088;REC-0079;ALTERADA;Pudim de Pão (Pão Velho) — Variante 1;Pudim de Pão (Pão Velho)
REC-0089;;EXCLUÍDA;Pudim de Maria Mole — Variante 2;
REC-0090;REC-0080;MANTIDA;Bolinhos de Chuva;Bolinhos de Chuva
REC-0091;REC-0081;MANTIDA;Brigadeiro;Brigadeiro
REC-0092;REC-0082;MANTIDA;Feijoada Carioca;Feijoada Carioca
REC-0093;REC-0083;MANTIDA;Pavê de Pêssego;Pavê de Pêssego
REC-0094;REC-0084;MANTIDA;Coxinha;Coxinha
REC-0095;REC-0085;MANTIDA;Pão de Banana;Pão de Banana
REC-0096;REC-0086;ALTERADA;Bolo de Laranja — Variante 2;Bolo de Laranja
REC-0097;REC-0087;MANTIDA;Bolo de Fubá;Bolo de Fubá
REC-0098;REC-0088;MANTIDA;Rocambole Formiguinha;Rocambole Formiguinha
REC-0099;REC-0089;MANTIDA;Esfirra Habib's;Esfirra Habib's
REC-0100;REC-0090;MANTIDA;Pão de Ló — Variante 2;Pão de Ló — Variante 2
REC-0101;REC-0091;MANTIDA;Bolo de Milho;Bolo de Milho
REC-0102;REC-0092;MANTIDA;Bolo Nega Maluca;Bolo Nega Maluca
REC-0103;REC-0093;ALTERADA;Pé de Moleque — Variante 2;Pé de Moleque
REC-0104;REC-0094;MANTIDA;Bolo de Cenoura — Variante 3;Bolo de Cenoura — Variante 3
REC-0105;;EXCLUÍDA;Pão Caseiro — Variante 3;
REC-0106;REC-0095;MANTIDA;Risoles — Variante 1;Risoles — Variante 1
REC-0107;REC-0096;MANTIDA;Doce de Mamão (Márcia);Doce de Mamão (Márcia)
REC-0108;REC-0097;MANTIDA;Pizza de Liquidificador;Pizza de Liquidificador
REC-0109;REC-0098;MANTIDA;Recheio de Leite em Pó;Recheio de Leite em Pó
REC-0110;;EXCLUÍDA;Pudim de Leite em Pó — Variante 3;
REC-0111;REC-0099;MANTIDA;Risoles — Variante 2;Risoles — Variante 2
REC-0112;REC-0100;MANTIDA;Bolo de Chocolate — Variante 4;Bolo de Chocolate — Variante 4
REC-0113;;EXCLUÍDA;Pizza Enrolada — Variante 2;
REC-0114;REC-0101;MANTIDA;Torta de Liquidificador;Torta de Liquidificador
REC-0115;REC-0102;MANTIDA;Esfirra — Variante 1;Esfirra — Variante 1
REC-0116;REC-0103;MANTIDA;Pão de Queijo;Pão de Queijo
REC-0117;REC-0104;MANTIDA;Creme de Queijo;Creme de Queijo
REC-0118;REC-0105;MANTIDA;Pão;Pão
REC-0119;REC-0106;MANTIDA;Massa Doce;Massa Doce
REC-0120;REC-0107;MANTIDA;Bolo Toalha Felpudo;Bolo Toalha Felpudo
REC-0121;REC-0108;MANTIDA;Bacalhau com Broa de Milho;Bacalhau com Broa de Milho
REC-0122;REC-0109;MANTIDA;Pudim de Bar da Lourdes;Pudim de Bar da Lourdes
REC-0123;REC-0110;MANTIDA;Pão de Forma (Doce/Salgado);Pão de Forma (Doce/Salgado)
REC-0124;REC-0111;MANTIDA;Quindim;Quindim
REC-0125;;EXCLUÍDA;Pudim de Pão (Pão Francês Amanhecido) — Variante 2;
REC-0126;REC-0112;MANTIDA;Bolo de Iogurte Natural;Bolo de Iogurte Natural
REC-0127;REC-0113;MANTIDA;Fatias Húngaras / Rosca Estrela — Variante 2;Fatias Húngaras / Rosca Estrela — Variante 2
REC-0128;REC-0114;MANTIDA;Pão Caseiro Baguete;Pão Caseiro Baguete
REC-0129;REC-0115;MANTIDA;Torta Salgada;Torta Salgada
REC-0130;REC-0116;MANTIDA;Sonho Assado;Sonho Assado
REC-0131;REC-0117;MANTIDA;Esfiha — Variante 2;Esfiha — Variante 2
REC-0132;REC-0118;MANTIDA;Pão de Mel;Pão de Mel
REC-0133;REC-0119;MANTIDA;Pasta de Alho;Pasta de Alho
REC-0134;REC-0120;MANTIDA;Bombom Happy End;Bombom Happy End
REC-0135;REC-0121;MANTIDA;Sonho;Sonho
REC-0136;REC-0122;MANTIDA;Bolo de Mel e Chocolate;Bolo de Mel e Chocolate
REC-0137;REC-0123;MANTIDA;Recheio Creme Branco com Bombom;Recheio Creme Branco com Bombom
REC-0138;REC-0124;MANTIDA;Recheio de Chocolate Branco com Bombom;Recheio de Chocolate Branco com Bombom
REC-0139;REC-0125;MANTIDA;Recheio de Coco;Recheio de Coco
REC-0140;;EXCLUÍDA;Pão de Ló — Variante 3;
REC-0141;REC-0126;MANTIDA;Cobertura com Emulsificante — Variante 2;Cobertura com Emulsificante — Variante 2
REC-0142;REC-0127;MANTIDA;Recheio de Doce de Leite — Anotação Incompleta;Recheio de Doce de Leite — Anotação Incompleta
